Record Indicator,Trade Time,Trade Price,Trade Quantity,Buy Order Number,Sell Order Number
RM,2021-01-20 09:55:10.981018112,15630,10,9D12CDB281C9BE8654355E257AB1469D,FA1042D600E7CEEFC21A1946D52DB0B2
RM,2021-01-20 09:55:13.264709376,15620,5,66DC5024B3848075DFE5A9AF8FDDB2D3,61F573B651E31FDC2EDB342025EA7B16
RM,2021-01-20 09:55:16.008041472,15640,2,8DD750A154393BB60034A8BFEBFA2233,34BBA462FBE7E698734F1D103E87D0B7
RM,2021-01-20 09:55:16.008071936,15645,31,8DD750A154393BB60034A8BFEBFA2233,2EC60656757F448B5D4F775A127AC910
RM,2021-01-20 09:55:16.008163328,15655,10,0333095291515E7255EC5265F3102A26,85A9CAF72F11FFF3BDD64A1CB1B8A76D
RM,2021-01-20 09:55:16.008178688,15660,10,0333095291515E7255EC5265F3102A26,30C1BE519AF196DB2FB0D0C3D6B7F03D
RM,2021-01-20 09:55:16.008194048,15665,263,0333095291515E7255EC5265F3102A26,2B04B444D0CD45F51F3AD9EA4912A2F2
RM,2021-01-20 09:55:16.008285440,15650,1,8DD750A154393BB60034A8BFEBFA2233,AFDD3F743220AA95C70D567A6D9E43D9
RM,2021-01-20 09:55:21.631515392,15630,5,B276E6AEAE8EF501720CFFD4DFAE9BA2,2C54FBF9CD28E0CA7D41CBF2B1F2834C
RM,2021-01-20 09:55:30.463348480,15680,1,8EBACE387A64045B5FB1C40AD0EBE5DC,DF91A3A581F0E3ED1F2476E80497DA07
RM,2021-01-20 09:55:30.463363584,15685,153,8EBACE387A64045B5FB1C40AD0EBE5DC,6515BD1C507D8D078BBB11A0F0727C89
RM,2021-01-20 09:55:30.463378944,15685,12,8EBACE387A64045B5FB1C40AD0EBE5DC,182E12CF9B77448D2238D9B211E76112
RM,2021-01-20 09:55:30.463394048,15700,434,8EBACE387A64045B5FB1C40AD0EBE5DC,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 09:55:35.630691584,15700,63,31B11B36105609F3052610E6ED5A78AD,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 09:56:38.064804096,15695,76,C80C502501F7A2D515B0631D412D7ED6,C20C012200A98220122CBA43BAFAF820
RM,2021-01-20 09:56:38.064819456,15700,24,C80C502501F7A2D515B0631D412D7ED6,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 09:57:12.250839296,15700,10,CF67A303C4495599A111589C651CEB93,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 09:57:12.250869760,15700,10,EF259C52E82D164848E91B9E1E7DD88C,961EBAFB072C1264221D0AE7124C21CF
